DATE,CC,HU,TG,PP,FG
60,6.6,87.03333333333333,58.86666666666667,10101.3,27.53333333333333
61,7.0,90.03333333333333,-5.866666666666666,10180.2,37.2
62,6.3,89.03333333333333,-22.5,10184.366666666669,37.8
63,4.233333333333333,81.53333333333333,-21.633333333333333,10224.066666666668,35.56666666666667
64,4.233333333333333,65.73333333333333,64.4,10225.566666666668,33.4
65,4.266666666666667,58.43333333333333,106.93333333333334,10154.866666666669,39.03333333333333
66,4.366666666666666,67.5,171.96666666666667,10151.333333333334,30.5
67,4.333333333333333,65.6,218.03333333333333,10127.133333333331,28.433333333333334
68,4.5,66.2,206.53333333333333,10146.333333333334,30.53333333333333
69,3.2333333333333334,60.6,229.63333333333333,10140.966666666667,24.166666666666668
70,3.5,73.36666666666666,150.73333333333332,10188.333333333334,27.23333333333333
71,5.366666666666666,81.43333333333334,67.63333333333334,10149.2,38.63333333333333
72,6.4,87.5,56.16666666666666,10187.866666666669,37.9
73,5.766666666666667,86.16666666666667,-1.8,10215.866666666669,34.0
74,6.6,87.36666666666666,-9.966666666666669,10137.633333333331,32.9
75,5.9,73.63333333333334,24.9,10204.1,46.6
76,5.566666666666666,76.6,31.366666666666667,10213.8,35.766666666666666
77,4.733333333333333,67.0,100.86666666666666,10144.266666666666,38.0
78,5.0,66.56666666666666,136.1,10114.8,30.4
79,5.433333333333334,72.76666666666667,163.66666666666666,10170.2,27.666666666666668
80,4.866666666666666,71.5,192.63333333333333,10159.133333333331,33.5
81,3.6,70.13333333333334,203.83333333333331,10133.233333333334,28.3
82,4.133333333333334,76.76666666666667,163.4,10187.666666666666,35.06666666666667
83,5.4,85.8,113.36666666666666,10169.133333333331,32.13333333333333
84,7.433333333333334,88.43333333333334,64.33333333333333,10172.033333333333,40.4
85,5.7,91.16666666666669,-3.033333333333333,10240.866666666669,30.8
86,5.5,82.86666666666666,27.03333333333333,10224.3,42.53333333333333
87,5.933333333333334,83.86666666666666,-25.933333333333334,10202.1,39.43333333333333
88,5.133333333333334,75.46666666666667,5.966666666666667,10171.8,37.23333333333333
89,4.733333333333333,76.5,99.9,10141.6,34.5
90,5.0,77.36666666666666,130.03333333333333,10152.166666666666,33.06666666666667
91,4.433333333333334,74.8,176.36666666666667,10184.2,30.366666666666667
92,4.966666666666667,77.66666666666667,200.0,10153.3,30.066666666666663
93,4.8,76.63333333333334,189.1,10139.7,31.466666666666665
94,5.266666666666667,80.16666666666667,180.33333333333331,10161.033333333333,28.0
95,3.933333333333333,80.23333333333333,121.7,10217.9,33.1
96,6.233333333333333,88.3,78.46666666666667,10209.733333333334,25.933333333333334
97,6.666666666666667,88.2,-13.233333333333333,10172.966666666667,34.1
98,6.666666666666667,89.93333333333334,-29.766666666666666,10237.766666666666,38.03333333333333
99,5.4,85.36666666666666,-43.5,10230.533333333333,34.166666666666664
100,6.7,78.26666666666667,-1.6666666666666667,10127.933333333332,34.666666666666664
101,5.666666666666667,71.36666666666666,79.8,10122.633333333331,36.06666666666667
